,link,titel,intro,datum,verantwoordelijk,pdfs
10,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/09/16/besluit-az-wob-verzoek-fraudezaak-pels-rijcken,Besluit AZ Wob-verzoek fraudezaak Pels Rijcken,Besluit van het ministerie van Algemene Zaken (AZ) op een verzoek om informatie over de fraudezaak bij landsadvocaat Pels Rijcken. Het gaat om een verzoek op basis van de Wet openbaarheid van bestuur (Wob).,2021/09/16,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/09/16/besluit-az-wob-verzoek-fraudezaak-pels-rijcken/Wob-besluit-fraudezaak-Pels-Rijcken.pdf']
11,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/08/31/besluit-op-wob-verzoek-over-geldigheid-frankeren-met-guldenpostzegel,Besluit op Wob-verzoek over geldigheid frankeren met guldenpostzegel,Besluit op een verzoek om informatie over het voornemen om guldenpostzegels niet meer frankeergeldig te laten zijn. Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/08/31,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/08/31/besluit-op-wob-verzoek-over-geldigheid-frankeren-met-guldenpostzegel/Besluit+op+Wob-verzoek+over+geldigheid+frankeren+met+guldenpostzegel.pdf']
12,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/08/30/beslissing-op-bezwaar-wob-verzoek-notulen-ministerraad,Beslissing op bezwaar Wob-verzoek notulen ministerraad over kinderopvangtoeslag,Beslissing op een bezwaar tegen het besluit op een verzoek om informatie over de kinderopvangtoeslagaffaire uit de notulen van een aantal ministerraden. Het gaat om een verzoek op basis van de Wet openbaarheid van bestuur (Wob).,2021/08/30,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/08/30/beslissing-op-bezwaar-wob-verzoek-notulen-ministerraad/Beslissing-op-bezwaar-Wob-verzoek-notulen-ministerraad.pdf']
13,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/08/27/beslissing-az-op-bezwaar-wob-verzoek-wk-voetbal-2022,Beslissing AZ op bezwaar Wob-verzoek WK voetbal 2022,Beslissing van het ministerie van Algemene Zaken (AZ) op een bezwaar tegen het besluit op een verzoek om documenten over het wereldkampioenschap voetbal in Qatar in 2022. Het gaat om een verzoek op basis van de Wet openbaarheid van bestuur (Wob).,2021/08/27,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/08/27/beslissing-az-op-bezwaar-wob-verzoek-wk-voetbal-2022/Beslissing-op-bezwaar-Wob-WK2022.pdf']
14,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/07/15/besluit-op-wob-verzoek-over-nederlandse-pensioenstelsel,Besluit op Wob-verzoek over Nederlandse pensioenstelsel,Besluit op een verzoek om informatie afkomstig uit de ministerraad over de huidige Pensioenwet en het wetsvoorstel Toekomst pensioenen. Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/07/15,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/07/15/besluit-op-wob-verzoek-over-nederlandse-pensioenstelsel/besluit+op+wob-verzoek+over+pensioenwet+wetsvoorstel+toekomst+pensioenen.pdf']
15,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/07/08/besluit-az-op-wob-verzoek-over-aanvraagwietteelt-nl,Besluit AZ op Wob-verzoek over aanvraagwietteelt.nl,Besluit van het ministerie van Algemene Zaken (AZ) op een verzoek om informatie over de website aanvraagwietteelt.nl. Het gaat om een verzoek op basis van de Wet openbaarheid van bestuur (Wob).,2021/07/08,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/07/08/besluit-az-op-wob-verzoek-over-aanvraagwietteelt-nl/wob-besluit-website-aanvraagwietteelt.pdf']
16,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/07/01/besluit-wob-verzoek-dwangsommen-wob-az,Besluit Wob-verzoek dwangsommen Wob AZ,Besluit op een verzoek om informatie over de door het ministerie van Algemene Zaken (AZ) verbeurde en betaalde dwangsommen na het niet tijdig beslissen op een Wob-verzoek. Het gaat om een verzoek op basis van de Wet openbaarheid van bestuur (Wob).,2021/07/01,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/07/01/besluit-wob-verzoek-dwangsommen-wob-az/Besluit-Wob-verzoek-dwangsommen-Wob-AZ.pdf']
17,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/07/01/beslissing-op-bezwaar-tegen-wob-besluit-over-verbreding-a27,Beslissing op bezwaar tegen Wob-besluit over verbreding A-27,Beslissing op een bezwaar tegen een besluit op een verzoek van 24 maart 2021 op basis van de Wet openbaarheid van bestuur (Wob). Het verzoek ging over de verbreding van de A27.,2021/07/01,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/07/01/beslissing-op-bezwaar-tegen-wob-besluit-over-verbreding-a27/beslissing+op+bezwaar+tegen+wob-besluit+over+de+verbreding+van+de+a-27.pdf']
18,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/07/01/besluit-op-wob-verzoek-over-ii-klm-steunmaatregelenpakket,Besluit op Wob-verzoek over II KLM steunmaatregelenpakket,Besluit op een verzoek om informatie over II KLM steunmaatregelenpakket. Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/07/01,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/07/01/besluit-op-wob-verzoek-over-ii-klm-steunmaatregelenpakket/Wob-verzoek+II+KLM+steunmaatregelenpakket.pdf']
19,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/06/07/besluit-op-wob-verzoek-over-kabinetsreactie-op-rapport-ongekend-onrecht,Besluit op Wob-verzoek over kabinetsreactie op rapport Ongekend onrecht,Besluit op een verzoek om informatie over de kabinetsreactie op rapport 'Ongekend onrecht'. Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/06/07,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/06/07/besluit-op-wob-verzoek-over-kabinetsreactie-op-rapport-ongekend-onrecht/besluit+op+wob-verzoek+over+kabinetsreactie+op+rapport+ongekend+onrecht.pdf']
